model,fpr,tpr,threshold
Logistic Regression,0.0,0.0,inf
Logistic Regression,0.0,0.001564945226917058,0.9452868843267889
Logistic Regression,0.0014695077149155032,0.001564945226917058,0.9317487851145814
Logistic Regression,0.0014695077149155032,0.003129890453834116,0.9081041410112612
Logistic Regression,0.002204261572373255,0.003129890453834116,0.8937514783054491
Logistic Regression,0.002204261572373255,0.00782472613458529,0.8801314369619645
Logistic Regression,0.0036737692872887582,0.00782472613458529,0.8785802464599041
Logistic Regression,0.0036737692872887582,0.03129890453834116,0.7764025955751233
Logistic Regression,0.0073475385745775165,0.03129890453834116,0.7599918019043646
Logistic Regression,0.0073475385745775165,0.03286384976525822,0.7589771265314682
Logistic Regression,0.011756061719324026,0.03286384976525822,0.743426357685071
Logistic Regression,0.011756061719324026,0.03442879499217527,0.7433823785450755
Logistic Regression,0.012490815576781777,0.03442879499217527,0.7414698233842728
Logistic Regression,0.012490815576781777,0.03599374021909233,0.7412096991791092
Logistic Regression,0.01322556943423953,0.03599374021909233,0.7411650174471679
Logistic Regression,0.01322556943423953,0.0406885758998435,0.7376962915270289
Logistic Regression,0.013960323291697281,0.0406885758998435,0.7375552412595554
Logistic Regression,0.013960323291697281,0.04225352112676056,0.7374758695911798
Logistic Regression,0.015429831006612785,0.04225352112676056,0.7365097197056371
Logistic Regression,0.015429831006612785,0.050078247261345854,0.7316180394271582
Logistic Regression,0.016164584864070537,0.050078247261345854,0.7316161377937849
Logistic Regression,0.016164584864070537,0.053208137715179966,0.7263630092850729
Logistic Regression,0.01689933872152829,0.053208137715179966,0.7257759937749496
Logistic Regression,0.01689933872152829,0.054773082942097026,0.7244098944990208
Logistic Regression,0.01763409257898604,0.054773082942097026,0.7234019664796705
Logistic Regression,0.01763409257898604,0.056338028169014086,0.7207762985314647
Logistic Regression,0.019838354151359296,0.056338028169014086,0.7192208058422713
Logistic Regression,0.019838354151359296,0.057902973395931145,0.7189097324440145
Logistic Regression,0.0213078618662748,0.057902973395931145,0.7155709400583182
Logistic Regression,0.0213078618662748,0.06416275430359937,0.7134943766574184
Logistic Regression,0.02204261572373255,0.06416275430359937,0.711988606137632
Logistic Regression,0.02204261572373255,0.06885758998435054,0.7101590278539222
Logistic Regression,0.022777369581190303,0.06885758998435054,0.7088865091955558
Logistic Regression,0.022777369581190303,0.07042253521126761,0.7088840358052961
Logistic Regression,0.02351212343864805,0.07042253521126761,0.7087678471472808
Logistic Regression,0.02351212343864805,0.07355242566510173,0.7067953282853966
Logistic Regression,0.027920646583394562,0.07355242566510173,0.7031700546899826
Logistic Regression,0.027920646583394562,0.0782472613458529,0.7024551221264438
Logistic Regression,0.030124908155767818,0.0782472613458529,0.6997797919730645
Logistic Regression,0.030124908155767818,0.081377151799687,0.6993947891077794
Logistic Regression,0.03085966201322557,0.081377151799687,0.6992621272527663
Logistic Regression,0.03085966201322557,0.08294209702660407,0.6989716176999355
Logistic Regression,0.03232916972814107,0.08294209702660407,0.6975629163154001
Logistic Regression,0.03232916972814107,0.08450704225352113,0.6970721431927159
Logistic Regression,0.03379867744305658,0.08450704225352113,0.6960472113728873
Logistic Regression,0.03379867744305658,0.09076682316118936,0.6927873407357588
Logistic Regression,0.036737692872887584,0.09076682316118936,0.6890805617707871
Logistic Regression,0.036737692872887584,0.09389671361502347,0.6884414419469432
Logistic Regression,0.03747244673034533,0.09389671361502347,0.6881326707789882
Logistic Regression,0.03747244673034533,0.09546165884194054,0.6868608601677588
Logistic Regression,0.03820720058780309,0.09546165884194054,0.6864773545611961
Logistic Regression,0.03820720058780309,0.09702660406885759,0.686132067078985
Logistic Regression,0.03967670830271859,0.09702660406885759,0.6856372505117366
Logistic Regression,0.03967670830271859,0.10015649452269171,0.6847405841425862
Logistic Regression,0.041146216017634095,0.10015649452269171,0.684307753464289
Logistic Regression,0.041146216017634095,0.10172143974960876,0.6839968435626282
Logistic Regression,0.04188096987509184,0.10172143974960876,0.6837777033105694
Logistic Regression,0.04188096987509184,0.10328638497652583,0.6835798111083687
Logistic Regression,0.0426157237325496,0.10328638497652583,0.6835016511930426
Logistic Regression,0.0426157237325496,0.10641627543035993,0.6823708465919964
Logistic Regression,0.045554739162380606,0.10641627543035993,0.681122305351807
Logistic Regression,0.045554739162380606,0.10954616588419405,0.6809634145634716
Logistic Regression,0.0470242468772961,0.10954616588419405,0.6806506531532666
Logistic Regression,0.0470242468772961,0.11267605633802817,0.6793131283462439
Logistic Regression,0.048493754592211606,0.11267605633802817,0.6787911406293826
Logistic Regression,0.048493754592211606,0.11580594679186229,0.6779100339574871
Logistic Regression,0.050698016164584865,0.11580594679186229,0.6763252056119842
Logistic Regression,0.050698016164584865,0.11737089201877934,0.6761805469583686
Logistic Regression,0.05143277002204261,0.11737089201877934,0.6758932201421634
Logistic Regression,0.05143277002204261,0.1189358372456964,0.6755196254061225
Logistic Regression,0.05363703159441587,0.1189358372456964,0.6741284221152304
Logistic Regression,0.05363703159441587,0.12050078247261346,0.6737148824603019
Logistic Regression,0.055106539309331376,0.12050078247261346,0.6731533208525133
Logistic Regression,0.055106539309331376,0.12363067292644757,0.6726072878899493
Logistic Regression,0.05657604702424688,0.12363067292644757,0.6720641989830232
Logistic Regression,0.05657604702424688,0.12519561815336464,0.6716249103873577
Logistic Regression,0.05804555473916238,0.12519561815336464,0.6712590065611488
Logistic Regression,0.05804555473916238,0.1267605633802817,0.6703436930928227
Logistic Regression,0.05951506245407789,0.1267605633802817,0.6693209676057822
Logistic Regression,0.05951506245407789,0.1298904538341158,0.6689680064115469
Logistic Regression,0.060249816311535635,0.1298904538341158,0.6687884718677554
Logistic Regression,0.060249816311535635,0.13458528951486698,0.6683515157048747
Logistic Regression,0.06245407788390889,0.13458528951486698,0.6669505357337188
Logistic Regression,0.06245407788390889,0.13615023474178403,0.6669477995446093
Logistic Regression,0.0653930933137399,0.13615023474178403,0.6646345722286302
Logistic Regression,0.0653930933137399,0.14397496087636932,0.662766369310731
Logistic Regression,0.06612784717119764,0.14397496087636932,0.6623525925014283
Logistic Regression,0.06612784717119764,0.14553990610328638,0.6621152476680789
Logistic Regression,0.0668626010286554,0.14553990610328638,0.6619634445904012
Logistic Regression,0.0668626010286554,0.1486697965571205,0.660969600046932
Logistic Regression,0.06759735488611315,0.1486697965571205,0.6609375438600895
Logistic Regression,0.06759735488611315,0.15023474178403756,0.6608442643582406
Logistic Regression,0.06980161645848641,0.15023474178403756,0.6591557342120143
Logistic Regression,0.06980161645848641,0.15179968701095461,0.6583724516431662
Logistic Regression,0.07347538574577517,0.15179968701095461,0.6566839693910755
Logistic Regression,0.07347538574577517,0.1596244131455399,0.6544154226737755
