model,accuracy,precision,recall,f1,roc_auc
Logistic Regression,0.6035,0.4104651162790698,0.5524256651017214,0.47098065376917947,0.6305521922456446
Logistic Regression,0.6035,0.4104651162790698,0.5524256651017214,0.47098065376917947,0.6305521922456446
XGBoost,0.6765,0.486013986013986,0.21752738654147105,0.3005405405405405,0.6364244738575957
XGBoost,0.6765,0.486013986013986,0.21752738654147105,0.3005405405405405,0.6364244738575957
